site_id,anime_id,anime_title,scene_id,episode,lat,lon,location_name,city,prefecture,country,place_type,urban_context,anime_frame_path,streetview_image_path,source_url,source_type,coordinate_confidence,real_location_match_type,is_publicly_accessible,private_or_sensitive_location,notes
S_27364_0000,27364,冰菓,ozj8t9728,1,36.1566,137.2581,上学道,高山市,岐阜県,Japan,other,,data/raw/anime_frames/27364/ozj8t9728.jpg,,https://anitabi.cn/,anitabi_fan_site,high,exact,1,0,
S_27364_0001,27364,冰菓,7ek5c0v9,1,36.1563,137.2579,神山高校,高山市,岐阜県,Japan,school,,data/raw/anime_frames/27364/7ek5c0v9.jpg,,https://www.google.com/maps/d/viewer?mid=1-xhK9xXBighgJMVK-M8OxkKh5i4&ll=36.156328%2C137.257948&z=17,anitabi_fan_site,high,exact,1,1,
S_27364_0002,27364,冰菓,7ek5c0rz,1,36.1454,137.2568,OP1 场景（本町4商店街駐車場）,高山市,岐阜県,Japan,shopping_street,,data/raw/anime_frames/27364/7ek5c0rz.jpg,,https://www.google.com/maps/d/viewer?mid=1-xhK9xXBighgJMVK-M8OxkKh5i4&ll=36.145469%2C137.256835&z=17,anitabi_fan_site,high,exact,1,0,
S_27364_0003,27364,冰菓,rno7fzcnt,1,36.1411,137.2582,猫鱼雕像,高山市,岐阜県,Japan,other,,data/raw/anime_frames/27364/rno7fzcnt.jpg,,https://anitabi.cn/,anitabi_fan_site,high,exact,1,0,
S_27364_0004,27364,冰菓,7ek5c0tg,1,36.1429,137.2575,鍛冶橋交差点,高山市,岐阜県,Japan,bridge,,data/raw/anime_frames/27364/7ek5c0tg.jpg,,https://www.google.com/maps/d/viewer?mid=1-xhK9xXBighgJMVK-M8OxkKh5i4&ll=36.142978%2C137.257551&z=17,anitabi_fan_site,high,exact,1,0,
S_27364_0005,27364,冰菓,7emmn40i,2,36.1379,137.256,神山神社石狮,高山市,岐阜県,Japan,shrine,,data/raw/anime_frames/27364/7emmn40i.jpg,,https://anitabi.cn/,anitabi_fan_site,high,exact,1,0,
S_27364_0006,27364,冰菓,7ek5c04k,2,36.1425,137.2578,猫鱼,高山市,岐阜県,Japan,other,,data/raw/anime_frames/27364/7ek5c04k.jpg,,https://www.google.com/maps/d/viewer?mid=1-xhK9xXBighgJMVK-M8OxkKh5i4&ll=36.142504%2C137.257803&z=17,anitabi_fan_site,high,exact,1,0,
S_27364_0007,27364,冰菓,7ek5c0da,4,36.1414,137.2652,4 话行车路线,高山市,岐阜県,Japan,other,,data/raw/anime_frames/27364/7ek5c0da.jpg,,https://www.google.com/maps/d/viewer?mid=1-xhK9xXBighgJMVK-M8OxkKh5i4&ll=36.14147%2C137.265206&z=17,anitabi_fan_site,high,exact,1,0,
S_27364_0008,27364,冰菓,59orvui2a,4,36.1487,137.2566,不动桥,高山市,岐阜県,Japan,other,,data/raw/anime_frames/27364/59orvui2a.jpg,,https://anitabi.cn/,anitabi_fan_site,high,exact,1,0,
S_27364_0009,27364,冰菓,837zd8il8,4,35.7134,139.7622,安田講堂,高山市,岐阜県,Japan,temple,,data/raw/anime_frames/27364/837zd8il8.jpg,,https://anitabi.cn/,anitabi_fan_site,high,exact,1,0,
S_27364_0010,27364,冰菓,7ek5c062,5,36.1459,137.2567,5 话场景（寄信处）,高山市,岐阜県,Japan,other,,data/raw/anime_frames/27364/7ek5c062.jpg,,https://www.google.com/maps/d/viewer?mid=1-xhK9xXBighgJMVK-M8OxkKh5i4&ll=36.145941%2C137.256728&z=17,anitabi_fan_site,high,exact,1,0,
S_27364_0011,27364,冰菓,ozk1ruc0l,OP1,36.1456,137.2575,OP1（水中阶梯？）,高山市,岐阜県,Japan,other,,data/raw/anime_frames/27364/ozk1ruc0l.jpg,,https://anitabi.cn/,anitabi_fan_site,high,exact,1,0,
