site_id,date,safety,lively,boring,wealthy,depressing,beautiful
S_10440_0030,2011-05,5.1704,4.5916,4.853,4.7889,4.4568,5.2634
S_10440_0030,2012-07,4.952,4.3875,4.8574,4.5703,4.439,5.2308
S_10440_0030,2015-01,4.9355,4.4074,4.8921,4.5223,4.5038,5.1544
S_10440_0030,2015-07,5.0339,4.4163,4.9206,4.6475,4.4765,5.1911
S_10440_0030,2017-11,5.0671,4.4742,4.8861,4.6659,4.4781,5.2097
S_10440_0030,2018-09,5.0124,4.4284,4.8688,4.6172,4.432,5.2253
S_10440_0030,2019-10,5.0258,4.4674,4.7964,4.6558,4.3951,5.1982
S_10440_0030,2023-03,5.156,4.5677,4.8699,4.7872,4.4582,5.3455
S_10440_0051,2011-05,5.4881,5.361,4.4111,5.0587,4.2919,5.4313
S_10440_0051,2012-07,5.3675,5.3136,4.362,4.9324,4.2992,5.3187
S_10440_0051,2015-07,5.5113,5.3901,4.4477,5.0613,4.3418,5.3854
S_10440_0051,2018-09,5.4821,5.5597,4.3568,5.0249,4.3728,5.2059
S_10440_0051,2019-09,5.4695,5.5847,4.3548,4.9924,4.4146,5.283
S_10440_0051,2023-05,5.5051,5.7597,4.2458,5.0268,4.422,5.2819
S_10440_0051,2023-12,5.4672,5.384,4.3838,5.0265,4.2667,5.3565
S_10440_0051,2025-05,5.4183,5.4317,4.3696,4.9312,4.4483,5.0057
S_207195_0069,2012-06,4.9235,4.6232,4.9546,4.3968,4.8112,4.6662
S_207195_0069,2018-08,4.8436,4.6697,4.9249,4.2319,4.8981,4.5588
S_207195_0069,2023-03,4.8021,4.6753,4.9028,4.1278,4.9402,4.442
S_207195_0069,2025-04,5.2255,4.8011,4.9626,4.6836,4.7099,5.0274
S_207195_0075,2012-06,5.1161,4.5746,5.0989,4.6026,4.6499,5.2464
S_207195_0075,2023-04,5.1512,4.6817,4.963,4.6249,4.5701,5.3984
S_27364_0002,2012-04,5.1864,5.1665,4.5844,4.6043,4.6683,4.7968
S_27364_0002,2018-08,5.1181,5.1868,4.4702,4.589,4.6036,4.7772
S_27364_0002,2019-07,5.1197,5.2244,4.6789,4.5516,4.8379,4.7661
S_27364_0002,2020-11,4.9166,5.2713,4.3636,4.3354,4.7354,4.4626
S_27364_0002,2021-08,4.7495,4.9818,4.7636,4.1162,5.0465,4.3407
S_27364_0002,2022-08,4.8043,5.0695,4.6642,4.286,4.9248,4.3154
S_27364_0002,2023-09,4.9271,4.9946,4.7336,4.3371,4.8946,4.5388
S_27364_0004,2012-03,5.2711,5.468,4.0978,4.8778,4.4204,4.9247
S_27364_0004,2013-08,5.2027,5.3486,4.3088,4.7596,4.4803,4.8088
S_27364_0004,2018-08,5.3631,5.5425,4.1692,4.8775,4.4356,4.9738
S_27364_0004,2019-07,5.2498,5.5119,4.1285,4.866,4.4285,4.9626
S_27364_0004,2020-11,5.1578,5.507,4.2091,4.6112,4.569,4.6755
S_27364_0004,2021-09,5.5357,5.5523,4.321,5.018,4.3788,5.1382
S_27364_0004,2022-08,5.142,5.266,4.2849,4.5282,4.5108,4.694
S_27364_0004,2023-10,4.9855,5.3595,4.1835,4.4942,4.5307,4.5613
S_27364_0026,2012-04,5.2856,5.3136,4.5383,4.6955,4.5491,5.0491
S_27364_0026,2018-08,5.2398,5.0873,4.5915,4.6327,4.5307,5.0255
S_27364_0026,2019-07,5.163,5.1649,4.4375,4.6238,4.4511,4.9681
S_27364_0026,2020-11,5.3268,5.1767,4.378,4.8441,4.3076,5.16
S_27364_0026,2023-09,5.2442,5.1033,4.495,4.7894,4.3678,5.1675
