site_id,anime_id,anime_title,broadcast_date,years_since_broadcast,anime_popularity_score,mal_members,mal_score,bangumi_rating,fan_site_mentions,official_map_dummy,social_media_posts_total,online_visibility_score,official_promotion,pilgrimage_map,collaboration_event,character_panel,local_merchandise,stamp_rally,resident_conflict_notice,sensitive_location,tourism_transformation_score,governance_notes
S_27364_0000,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0001,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,1,1,7.85,
S_27364_0002,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0003,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0004,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0005,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0006,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0007,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0008,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0009,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0010,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0011,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0012,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0013,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0014,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0015,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0016,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0017,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0018,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0019,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0020,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0021,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0022,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0023,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0024,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0025,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0026,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0027,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0028,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_27364_0029,27364,冰菓,2012-04-22,14,8.12,32732,,8.2,30,0,,,0,0,0,0,0,0,0,0,7.85,
S_10440_0030,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0031,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0032,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0033,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0034,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0035,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0036,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0037,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0038,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0039,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0040,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0041,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0042,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0043,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0044,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0045,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0046,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0047,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0048,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0049,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0050,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0051,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0052,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0053,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0054,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0055,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0056,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0057,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0058,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_10440_0059,10440,我们仍未知道那天所看见的花的名字。,2011-04-14,15,7.58,26986,,7.5,30,0,,,0,0,0,0,0,0,0,0,7.83,
S_207195_0060,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0061,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0062,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0063,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0064,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0065,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0066,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0067,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0068,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0069,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0070,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0071,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0072,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0073,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0074,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0075,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0076,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0077,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0078,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0079,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0080,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0081,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0082,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0083,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0084,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0085,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0086,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0087,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0088,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
S_207195_0089,207195,摇曳露营△,2018-01-04,8,7.97,17234,,8.2,30,0,,,0,0,0,0,0,0,0,0,6.59,
