bangumi_id,title_cn,title_jp,air_date,platform,n_japan_sites
1510,美少女战士,美少女戦士セーラームーン,1992-03-07,TV,10
513,听到涛声,海がきこえる,1993-05-05,TV,10
9270,樱桃小丸子,ちびまる子ちゃん,1995-01-08,TV,10
500,侧耳倾听,耳をすませば,1995-07-15,剧场版,10
899,名侦探柯南,名探偵コナン,1996-01-08,TV,8
2582,玲音,Serial Experiments Lain,1998-07-06,TV,10
1671,化物语,化物語,2009-07-03,TV,10
11577,偶像大师,THE IDOLM@STER,2011-07-07,TV,10
18624,回转企鹅罐,輪るピングドラム,2011-07-07,TV,10
10843,白兔糖,うさぎドロップ,2011-07-07,TV,10
14588,摇曳百合,ゆるゆり,2011-07-04,TV,9
37785,来自新世界,新世界より,2012-09-28,TV,6
28440,狼的孩子雨和雪,おおかみこどもの雨と雪,2012-07-21,剧场版,10
216228,孤独的美食家,孤独のグルメ,2017-11-29,WEB,10
207195,摇曳露营△,ゆるキャン△,2018-01-04,TV,10
512,岁月的童话,おもひでぽろぽろ,1991-07-20,剧场版,10
24823,蜡笔小新,クレヨンしんちゃん,1992-04-13,TV,6
321,机动警察剧场版2 和平保卫战,機動警察パトレイバー 2 the Movie,1993-08-07,剧场版,10
1608,灌篮高手,スラムダンク,1993-10-16,TV,8
407,平成狸合战,平成狸合戦ぽんぽこ,1994-07-16,剧场版,6
10378,天空之艾斯嘉科尼,天空のエスカフローネ,1996-04-02,TV,5
2166,乌龙派出所,こちら葛飾区亀有公園前派出所,1996-06-16,TV,10
8290,头文字D,頭文字D,1998-04-19,TV,10
9713,横滨购物纪行,ヨコハマ買い出し紀行,1998-05-21,OVA,10
3128,数码宝贝大冒险,デジモンアドベンチャー,1999-03-07,TV,7
2970,名侦探柯南 世纪末的魔术师,名探偵コナン 世紀末の魔術師,1999-04-17,剧场版,10
822,FLCL,フリクリ,2000-04-26,OVA,5
3130,数码宝贝驯兽师之王,デジモンテイマーズ,2001-04-01,TV,10
311,千与千寻,千と千尋の神隠し,2001-07-20,剧场版,6
605,棋魂,ヒカルの碁,2001-10-10,TV,10
297,拜托了老师,おねがい☆ティーチャー,2002-01-10,TV,10
977,笑园漫画大王,あずまんが大王 THE ANIMATION,2002-04-08,TV,10
40388,我们这一家,あたしンち,2002-04-19,TV,8
534,她和她的猫,彼女と彼女の猫,2002-04-19,OVA,5
1931,最终兵器彼女,最終兵器彼女,2002-07-02,TV,10
12786,朝雾的巫女,朝霧の巫女,2002-07-04,TV,10
38125,名侦探柯南 柯南、平次与消失的少年,名探偵コナン コナンと平次と消えた少年,2003-03-12,OVA,9
2973,名侦探柯南 迷宫的十字路口,名探偵コナン 迷宮の十字路,2003-04-19,剧场版,10
1650,你所期望的永远,君が望む永遠,2003-10-04,TV,6
4214,圣母在上,マリア様がみてる,2004-01-07,TV,10
1977,向北。〜Diamond Dust Drops〜,北へ。〜Diamond Dust Drops〜,2004-01-13,TV,10
2974,名侦探柯南 银翼的魔术师,名探偵コナン 銀翼の奇術師,2004-04-17,剧场版,6
254,混沌武士,サムライチャンプルー,2004-05-19,TV,10
4235,神是中学生,かみちゅ!,2005-06-29,TV,10
284,草莓棉花糖,苺ましまろ,2005-07-14,TV,9
1260,地狱少女,地獄少女,2005-10-04,TV,9
1839,仰望半月的夜空,半分の月がのぼる空,2006-01-12,TV,10
485,凉宫春日的忧郁,涼宮ハルヒの憂鬱,2006-04-02,TV,10
289,寒蝉鸣泣之时,ひぐらしのなく頃に,2006-04-04,TV,10
3054,大魔法峠,大魔法峠,2006-04-05,OVA,7
1147,ZEGAPAIN,ゼーガペイン,2006-04-06,TV,10
995,欢迎加入NHK！,N・H・Kにようこそ！,2006-07-09,TV,10
242,穿越时空的少女,時をかける少女,2006-07-15,剧场版,10
1804,心跳回忆Only Love,ときめきメモリアル Only Love,2006-10-02,TV,10
1773,死亡笔记,DEATH NOTE,2006-10-04,TV,10
793,Code Geass 反叛的鲁路修,コードギアス 反逆のルルーシュ,2006-10-05,TV,8
274,,Kanon,2006-10-05,TV,10
1261,地狱少女 二笼,地獄少女 二籠,2006-10-07,TV,5
1925,死神剧场版 无人的回忆,劇場版BLEACH MEMORIES OF NOBODY,2006-12-16,剧场版,6
927,秒速5厘米,秒速5センチメートル,2007-03-03,剧场版,10
805,濑户的花嫁,瀬戸の花嫁,2007-04-01,TV,10
798,,sola,2007-04-06,TV,7
276,幸运星,らき☆すた,2007-04-08,TV,10
288,寒蝉鸣泣之时 解,ひぐらしのなく頃に解,2007-07-05,TV,5
3994,素描本,スケッチブック～full color's～,2007-10-01,TV,10
306,我自己；你自己,Myself ; Yourself,2007-10-02,TV,6
51,CLANNAD,CLANNAD -クラナド-,2007-10-04,TV,10
2482,萝莉的时间,こどものじかん,2007-10-11,TV,5
233,剧场版 空之境界 第一章 俯瞰风景,劇場版 空の境界 第一章 俯瞰風景,2007-12-01,剧场版,10
309,真实之泪,true tears,2008-01-05,TV,10
259,夏目友人帐,夏目友人帳,2008-07-07,TV,10
909,龙与虎,とらドラ！,2008-10-01,TV,10
876,,CLANNAD 〜AFTER STORY〜,2008-10-02,TV,10
902,神薙,かんなぎ,2008-10-04,TV,10
1014,魔法禁书目录,とある魔術の禁書目録,2008-10-04,TV,10
884,混沌头,CHAOS;HEAD,2008-10-09,TV,10
2603,狱・再见绝望先生,獄・さよなら絶望先生,2008-10-17,OVA,9
1424,轻音少女,けいおん！,2009-04-02,TV,10
1606,凉宫春日的忧郁 2009,涼宮ハルヒの憂鬱,2009-04-02,TV,10
1444,天才麻将少女,咲-Saki-,2009-04-05,TV,6
1758,青之花,青い花,2009-07-01,TV,7
1377,海猫鸣泣之时,うみねこのなく頃に,2009-07-01,TV,6
1731,大正野球娘。,大正野球娘。,2009-07-02,TV,10
1743,东京地震8.0,東京マグニチュード8.0,2009-07-09,TV,10
1905,夏日大作战,サマーウォーズ,2009-08-01,剧场版,9
3179,千子,センコロール,2009-07-28,剧场版,10
2585,某科学的超电磁炮,とある科学の超電磁砲,2009-10-02,TV,10
2567,学生会的一己之见,生徒会の一存,2009-10-02,TV,6
2617,天降之物,そらのおとしもの,2009-10-04,TV,5
2790,好想告诉你,君に届け,2009-10-06,TV,9
