site_id,bangumi_id,title_cn,air_date,point_id,name,lat,lon,image_url,ep
1510_51i51uwo4,1510,美少女战士,1992-03-07,51i51uwo4,Royal Garden Cafe 青山,35.6723,139.7203,,
1510_51i51uw5z,1510,美少女战士,1992-03-07,51i51uw5z,いちょう並木,35.6736,139.7201,,
1510_51i51uwo1,1510,美少女战士,1992-03-07,51i51uwo1,桂由美ブライダルハウス,35.6677,139.727,,
1510_51i51uw80,1510,美少女战士,1992-03-07,51i51uw80,赤坂氷川神社,35.6683,139.7355,,
1510_51i51uwer,1510,美少女战士,1992-03-07,51i51uwer,雨の木（現在Blues Dog Cafe）,35.6646,139.7357,,
1510_51i51uwg9,1510,美少女战士,1992-03-07,51i51uwg9,テレビ朝日本社,35.6593,139.7317,,
1510_51i51uw9x,1510,美少女战士,1992-03-07,51i51uw9x,港区立麻布図書館,35.6575,139.7357,,
1510_51i51uw5j,1510,美少女战士,1992-03-07,51i51uw5j,十番稲荷神社,35.657,139.735,,
1510_51i51uww7,1510,美少女战士,1992-03-07,51i51uww7,大黒屋麻布店,35.6565,139.7365,,
1510_51i51ux8t,1510,美少女战士,1992-03-07,51i51ux8t,ジュールA,35.656,139.7367,,
1510_51i51uwst,1510,美少女战士,1992-03-07,51i51uwst,一の橋公園,35.6554,139.7378,,
1510_51i51ux6i,1510,美少女战士,1992-03-07,51i51ux6i,一の橋交差点,35.6554,139.737,,
1510_51i51uwvp,1510,美少女战士,1992-03-07,51i51uwvp,麻布十番商店街塔（現在麻布十番駅出口4）,35.6553,139.7367,,
1510_51i51uwtt,1510,美少女战士,1992-03-07,51i51uwtt,崇文堂書店,35.6556,139.7364,,
1510_51i51ux63,1510,美少女战士,1992-03-07,51i51ux63,パチンコ クラウン（現在マクドナルド麻布十番店）,35.6557,139.7362,,
1510_51i51ux1s,1510,美少女战士,1992-03-07,51i51ux1s,永坂更科布屋太兵衛,35.6557,139.7357,,
1510_51i51uy7a,1510,美少女战士,1992-03-07,51i51uy7a,東京ラスク本店,35.6553,139.7347,,
1510_51i51uy8p,1510,美少女战士,1992-03-07,51i51uy8p,パティオ十番,35.6551,139.7351,,
1510_51i51uxzy,1510,美少女战士,1992-03-07,51i51uxzy,カレイドスコープ昔館,35.6546,139.735,,
1510_51i51uy25,1510,美少女战士,1992-03-07,51i51uy25,網代公園,35.6544,139.7355,,
1510_51i51uy1v,1510,美少女战士,1992-03-07,51i51uy1v,グルメシティ・麻布店,35.6561,139.7337,,
1510_51i51uxnz,1510,美少女战士,1992-03-07,51i51uxnz,暗闇坂,35.6562,139.733,,
1510_51i51uy23,1510,美少女战士,1992-03-07,51i51uy23,麻布セントメアリー教会,35.6556,139.7312,,
1510_51i51uxie,1510,美少女战士,1992-03-07,51i51uxie,麻布運動場,35.6527,139.7273,,
1510_51i51uxjc,1510,美少女战士,1992-03-07,51i51uxjc,有栖川宮記念公園,35.6522,139.7256,,
1510_51i51uyqo,1510,美少女战士,1992-03-07,51i51uyqo,東京都立中央図書館,35.652,139.7263,,
